game_id,pot_size,num_players,has_flop,has_turn,has_river,has_raise,has_all_in,did_show,is_bluff,winner
787014069,45.66,5,1,1,1,1,0,0,1,VegetablesArentYummy
787013999,2.5,8,0,0,0,1,0,0,1,VegetablesArentYummy
787013966,9.5,2,1,1,0,1,0,0,1,AironVega
787013914,4.0,5,0,0,0,1,0,0,1,IlxxxlI
787013902,2.0,3,0,0,0,0,0,0,0,AironVega
787013875,8.55,5,1,0,0,1,0,0,1,AironVega
787013749,2.5,8,0,0,0,1,0,0,1,IlxxxlI
787013718,9.5,9,1,1,1,1,0,1,0,PANDAisEVIL
787013659,2.0,5,0,0,0,0,0,0,0,VegetablesArentYummy
787013654,5.0,6,0,0,0,1,0,0,1,joonjoonjoon
787013533,4.0,5,0,0,0,1,0,0,1,PANDAisEVIL
787013454,5.0,9,0,0,0,1,0,0,1,IlxxxlI
787013348,2.0,5,0,0,0,0,0,0,0,PANDAisEVIL
787013289,2.5,8,0,0,0,1,0,0,1,dankmann
787013261,21.38,4,1,1,0,1,0,0,1,VegetablesArentYummy
787013185,36.39,6,1,1,0,1,0,0,1,gust
787013146,5.0,5,0,0,0,1,0,0,1,PANDAisEVIL
787013075,4.75,9,1,0,0,0,0,0,1,thimk
787012998,2.0,5,0,0,0,0,0,0,0,IlxxxlI
787012874,2.5,6,0,0,0,1,0,0,1,IlxxxlI
787012867,5.0,9,0,0,0,1,0,0,1,dankmann
787012776,5.0,9,0,0,0,1,0,0,1,pineapplesand
787012666,5.0,6,0,0,0,1,0,0,1,IbetUmuck
787012622,80.66,6,1,1,1,1,0,1,0,JoeRockwell
787012569,9.28,6,1,1,0,1,0,0,1,Sephiroth1
787012534,2.5,6,0,0,0,1,0,0,1,IlxxxlI
787012495,5.0,9,0,0,0,1,0,0,1,IlxxxlI
787012477,4.28,9,1,0,0,1,0,0,1,AironVega
787012409,2.0,6,0,0,0,0,0,0,0,joonjoonjoon
787012385,10.0,5,0,0,0,1,0,0,1,DonCesarGrinder
787012243,2.5,6,0,0,0,1,0,0,1,IlxxxlI
787012206,2.5,9,0,0,0,1,0,0,1,StephCurry
787012194,14.5,6,0,0,0,1,0,0,1,IbetUmuck
787012156,2.0,5,0,0,0,0,0,0,0,DonCesarGrinder
787012071,5.0,5,0,0,0,1,0,0,1,IlxxxlI
787012060,2.5,6,0,0,0,1,0,0,1,Sephiroth1
787012053,33.35,6,1,1,0,1,0,0,1,JoeRockwell
787011951,5.0,5,0,0,0,1,0,0,1,VegetablesArentYummy
787011934,12.35,9,1,1,0,1,0,0,1,pineapplesand
787011905,2.5,9,0,0,0,1,0,0,1,StephCurry
787011876,25.94,6,1,1,0,1,0,0,1,LloydXmas
787011862,5.0,6,0,0,0,1,0,0,1,VegetablesArentYummy
787011766,6.0,8,0,0,0,1,0,0,1,gust
787011763,2.5,6,0,0,0,1,0,0,1,ali23imsirovic
787011633,22.52,5,1,1,1,0,0,0,1,mjj475
787011589,8.55,5,1,1,0,1,0,0,1,IlxxxlI
787011518,2.5,8,0,0,0,1,0,0,1,zboiii
787011392,5.0,5,0,0,0,1,0,0,1,mjj475
787011380,11.4,9,1,1,0,1,0,0,1,gust
787011245,25.65,6,1,0,0,1,0,0,1,IlxxxlI
787011195,5.7,4,1,1,0,1,0,0,1,WeakAndWeary
787011092,21.78,6,1,1,1,1,0,0,1,IlxxxlI
787011071,5.0,9,0,0,0,1,0,0,1,StephCurry
787011039,11.4,5,1,0,0,1,0,0,1,VegetablesArentYummy
787011031,19.95,8,1,0,0,1,0,0,1,ElvenEyes
787010866,2.0,5,0,0,0,0,0,0,0,LloydXmas
787010861,1.0,5,0,0,0,1,0,0,1,WeakAndWeary
787010839,2.5,6,0,0,0,1,0,0,1,LloydXmas
